vessel_imo,country,port,date,inspection_type,number_of_deficiencies,detention
9208069,Russia,Novorossiysk,2002-09-14,Initial inspection,4,N
9208069,United States of America,"St. Croix, USVI",2009-04-15,Standard Examination,0,N
9208069,Italy,Milazzo,2001-11-13,Initial inspection,0,N
9208069,Canada,Port hawkesbury,2001-03-20,,0,N
9208069,United States of America,MSO Long Island Sound,2001-02-08,,0,N
9208124,Egypt,El Dekheila,2024-09-23,More detailed inspection,3,N
9208124,Malta,Marsaxlokk,2015-10-14,Expanded inspection,0,N
9208124,United Kingdom,Teesside,2004-01-27,Initial inspection,1,N
9208124,Russia,Tuapse,2024-07-27,Expanded inspection,18,Y
9208124,,,2024-07-27,More detailed inspection,0,
9208124,Portugal,Lisboa,2003-07-11,Initial inspection,0,N
9208124,Russia,Tuapse,2024-05-24,Expanded inspection,9,N
9208124,Romania,Midia,2014-10-11,Expanded inspection,2,N
9208124,United States of America,New York (Capt. of the port),2003-06-05,,0,N
9208124,Russia,Novorossiisk,2023-04-11,Expanded inspection,0,N
9208124,Greece,Piraeus,2013-10-14,Expanded inspection,2,N
9208124,Canada,St johns,2002-12-23,Initial inspection,0,N
9208124,Russia,Novorossiisk,2023-04-09,Expanded inspection,19,Y
9208124,Russia,KavKaz,2012-08-03,Expanded inspection,4,N
9208124,United States of America,New York (Capt. of the port),2002-11-11,,0,N
9208124,Estonia,Vene-Balti,2022-12-21,Expanded inspection,12,N
9208124,Bulgaria,Varna,2011-07-27,Expanded inspection,0,N
9208124,Belgium,Antwerp,2002-02-06,Initial inspection,0,N
9208124,United Kingdom,Royal Portbury,2022-07-05,Expanded inspection,69,Y
9208124,Netherlands,Rotterdam,2010-08-23,Expanded inspection,0,N
9208124,Poland,Szczecin,2001-06-01,,6,N
9208124,Indonesia,Dumai,2021-12-13,Initial inspection,0,N
9208124,Italy,Sarroch,2009-11-12,Initial inspection,0,N
9208124,Denmark,Rodbyhavn,2001-04-07,,1,N
9208124,Indonesia,Dumai,2021-03-24,Initial inspection,0,N
9208124,Italy,Augusta,2009-11-09,More detailed inspection,2,N
9208124,United Kingdom,London,2000-10-02,,0,N
9208124,Indonesia,Belawan,2020-12-20,Initial inspection,0,N
9208124,Canada,Saint John,2008-09-10,Initial inspection,0,N
9208124,United States of America,MSO Hampton Roads,2000-09-14,,0,N
9208124,Russia,Tuapse,2019-06-20,Initial inspection,2,N
9208124,Russia,Vyborg,2008-06-25,Initial inspection,2,N
9208124,United Kingdom,Gibraltar,2019-04-08,Expanded inspection,0,N
9208124,United States of America,"New York, New York",2008-03-27,Standard Examination,0,N
9208124,Russia,Novorossiisk,2018-08-25,Initial inspection,0,N
9208124,Croatia,Rijeka,2007-10-29,More detailed inspection,2,N
9208124,Turkey,Aliaga,2018-03-26,Initial inspection,0,N
9208124,Spain,Tarragona,2007-03-21,Initial inspection,0,N
9208124,Russia,Tuapse,2017-12-13,Initial inspection,0,N
9208124,Canada,Montreal,2006-12-12,Initial inspection,2,N
9208124,Italy,Genova,2017-11-27,Expanded inspection,1,N
9208124,Estonia,Muuga,2006-07-26,Initial inspection,0,N
9208124,Lebanon,Chekka,2017-03-29,Initial inspection,1,N
9208124,United States of America,"Corpus Christi, Texas",2005-09-27,Standard Examination,0,N
9208124,Italy,Sarroch,2016-10-20,Expanded inspection,0,N
9208124,Belgium,Antwerp,2005-03-02,Initial inspection,0,N
9208124,Egypt,El Iskandariya (Alexandria),2015-10-26,More detailed inspection,1,N
9208124,Russia,Murmansk,2004-08-10,Initial inspection,0,N
9209972,Russia,Taman,2024-04-14,Expanded inspection,0,N
9209972,Sweden,Göteborg,2005-06-30,Initial inspection,0,N
9209972,Russia,Taman,2023-12-12,Expanded inspection,11,N
9209972,United States of America,"New York, New York",2005-06-17,Standard Examination,0,N
9209972,Russia,Nakhodka,2022-10-24,Follow-up inspection,0,N
9209972,United States of America,"Houston, Texas",2005-05-18,Standard Examination,0,N
9209972,Russia,Nakhodka,2022-10-23,Follow-up inspection,0,N
9209972,,,2004-09-15,,0,N
9209972,,,2004-09-15,Initial inspection,20,
9209972,,,2004-09-09,,0,N
9209972,Singapore,Singapore,2022-07-29,Initial inspection,6,N
9209972,,,2004-07-06,,0,N
9209972,United States of America,"Houston, Texas",2009-11-05,Standard Examination,0,N
9209972,,,2003-11-28,,0,N
9209972,Canada,Pt Tupper,2009-04-22,Initial inspection,0,N
9209972,,,2003-11-25,,0,N
9209972,United States of America,"New York, New York",2008-11-06,Standard Examination,2,N
9209972,United States of America,MSO Guam,2003-09-13,,1,N
9209972,Netherlands,Rotterdam,2008-10-20,Initial inspection,4,N
9209972,,,2003-08-26,,0,N
9209972,Netherlands,Amsterdam,2007-11-16,Initial inspection,0,N
9209972,,,2003-03-12,,0,N
9209972,United States of America,"Charleston, South Carolina",2007-10-14,Standard Examination,0,N
9209972,Japan,Yokkaichi,2002-12-25,,0,N
9209972,Latvia,Ventspils,2007-05-07,Initial inspection,0,N
9209972,United States of America,MSD Kenai,2002-09-14,,0,N
9209972,United States of America,"San Juan, Puerto Rico",2006-09-26,Standard Examination,0,N
9209972,Russia,Vladivostok,2002-07-03,,0,N
9209972,Canada,Come by Chance,2006-09-12,Initial inspection,0,N
9209972,Russia,Kholmsk,2001-12-23,,0,N
9209972,United States of America,"Boston, Massachusets",2006-01-09,Standard Examination,0,N
9209972,Korea (Republic of),Yeosu,2001-12-14,,0,N
9209972,United States of America,"New York, New York",2005-09-09,Standard Examination,1,N
9209972,United States of America,MSO Los Angeles/ Long Beach,2001-05-05,,0,N
9209972,Australia,Kurnell,2001-01-16,,0,N
9209972,"Hong Kong, China",Hong Kong Marine Department,2000-11-20,,0,N
9211896,Romania,Constanta,2016-12-24,Expanded inspection,2,N
9211896,Bulgaria,Burgas,2013-01-08,More detailed inspection,0,N
9211896,Greece,Thessaloniki,2007-08-23,More detailed inspection,0,N
9211896,Bulgaria,Burgas,2007-07-30,More detailed inspection,2,N
9211896,Denmark,Fredericia,2003-03-20,Initial inspection,0,N
9211896,Norway,Bergen,2002-07-30,Initial inspection,0,N
9211896,Denmark,Copenhagen,2002-03-19,Initial inspection,1,N
9211896,Norway,Aalesund,2001-12-13,Initial inspection,1,N
9211896,Denmark,Copenhagen,2001-10-23,Initial inspection,0,N
9211896,Norway,Oslo,2001-08-22,Initial inspection,3,N
9211896,Norway,Aalesund,2001-01-15,,0,N
9211896,France,Sete (mole),2000-06-30,,0,N
9211999,Romania,Constanta,2021-12-15,Expanded inspection,3,N
9211999,United States of America,"Corpus Christi, Texas",2006-06-10,Standard Examination,0,N
9211999,,,2006-06-10,Expanded inspection,3,
9211999,United States of America,"New Orleans, Louisiana",2006-05-24,Standard Examination,0,N
9211999,Russia,Nakhodka,2014-10-30,Follow-up inspection,28,N
9211999,Russia,Murmansk,2006-04-10,More detailed inspection,0,N
9211999,Russia,Nakhodka,2014-09-13,Initial inspection,31,N
9211999,,,2005-05-18,,0,N
9211999,Russia,KavKaz,2014-06-22,Expanded inspection,2,N
9211999,Netherlands,Rotterdam,2004-12-01,More detailed inspection,0,N
9211999,United States of America,"Mobile, Alabama",2013-05-11,Standard Examination,0,N
9211999,United States of America,"Lake Charles, Louisiana",2012-05-03,Standard Examination,0,N
9211999,Colombia,Coveñas,2011-11-08,Initial inspection,0,N
9211999,United States of America,"New Orleans, Louisiana",2011-05-02,Standard Examination,2,N
9211999,Venezuela,Puerto La Cruz,2011-04-13,Initial inspection,0,N
9211999,United States of America,"Corpus Christi, Texas",2010-05-12,Standard Examination,2,N
9211999,Canada,Whiffen Head,2009-12-05,Initial inspection,0,N
9211999,United States of America,"Port Arthur, Texas",2009-05-22,Standard Examination,1,N
9211999,United States of America,"New Orleans, Louisiana",2008-04-28,Standard Examination,0,N
9211999,United States of America,"Corpus Christi, Texas",2007-05-27,Standard Examination,1,N
9211999,Canada,Whiffen Head,2006-12-15,Initial inspection,0,N
9212008,Romania,Constanta,2020-08-21,Expanded inspection,0,N
9212008,Russia,Primorsk,2004-06-21,Initial inspection,0,N
9212008,,,2004-06-21,Expanded inspection,0,
9212008,Russia,Novorossiysk,2001-08-24,Initial inspection,0,N
9212008,Bulgaria,Burgas,2016-02-08,Expanded inspection,0,N
9212008,Germany,Wilhelmshaven,2000-10-23,,0,N
9212008,Russia,KavKaz,2014-11-07,Expanded inspection,2,N
9212008,,,2012-09-20,,0,N
9212008,,,2012-09-06,,0,N
9212008,,,2012-06-28,,0,N
9212008,,,2011-11-23,,0,N
9212008,United States of America,"New Orleans, Louisiana",2011-04-02,Standard Examination,0,N
9212008,United States of America,"New Orleans, Louisiana",2010-04-06,Standard Examination,0,N
9212008,United States of America,Galveston,2009-05-02,Standard Examination,0,N
9212008,Canada,Whiffen Head,2009-02-21,More detailed inspection,4,N
9212008,United States of America,"Philadelphia, Pennsylvania",2008-04-19,Standard Examination,1,N
9212008,United States of America,"Corpus Christi, Texas",2007-05-11,Standard Examination,0,N
9212008,United States of America,"Port Arthur, Texas",2007-01-22,Standard Examination,1,N
9212008,Estonia,Muuga,2006-06-05,Initial inspection,0,N
9212008,United States of America,"Port Arthur, Texas",2006-05-03,Standard Examination,0,N
9212008,Spain,Castellón de la Plana,2005-09-02,More detailed inspection,4,N
9213296,Singapore,Singapore,2023-12-12,Follow-up inspection,0,N
9213296,United States of America,"Port Arthur, Texas",2012-10-06,Standard Examination,0,N
9213296,United States of America,"New Orleans, Louisiana",2006-04-28,Standard Examination,2,N
9213296,Singapore,Singapore,2023-11-16,Follow-up inspection,0,N
9213296,United States of America,"Portland, Maine",2012-04-07,Standard Examination,1,N
9213296,Sweden,Nynäshamn,2006-01-06,Initial inspection,0,N
9213296,Singapore,Singapore,2023-11-16,Initial inspection,14,Y
9213296,United States of America,"New York, New York",2011-05-13,Standard Examination,0,N
9213296,United States of America,"Corpus Christi, Texas",2005-07-04,Standard Examination,0,N
9213296,China Peoples's Republic,Yantai,2023-04-09,Follow-up inspection,0,N
9213296,Venezuela,Puerto La Cruz,2011-03-15,Initial inspection,0,N
9213296,France,Marseille,2005-04-22,Initial inspection,0,N
9213296,China Peoples's Republic,Yantai,2023-03-21,Initial inspection,29,Y
9213296,Belgium,Antwerp,2010-08-11,Initial inspection,0,N
9213296,Canada,Whiffen Head,2004-08-04,Initial inspection,0,N
9213296,Singapore,Singapore,2023-02-08,Follow-up inspection,0,N
9213296,United States of America,"Portland, Maine",2010-05-02,Standard Examination,0,N
9213296,United States of America,MSO Philadelphia,2004-05-24,,0,N
9213296,Singapore,Singapore,2023-01-03,Initial inspection,22,Y
9213296,United States of America,"New York, New York",2009-04-27,Standard Examination,5,N
9213296,Canada,Port hawkesbury,2003-07-21,Initial inspection,0,N
9213296,Russia,KavKaz,2018-06-09,Expanded inspection,2,N
9213296,United States of America,"Portland, Maine",2009-02-03,Standard Examination,0,N
9213296,United States of America,MSD Lake Charles,2003-05-17,,0,N
9213296,United States of America,"New Orleans, Louisiana",2018-02-23,Standard Examination,0,N
9213296,United States of America,"Portland, Maine",2008-04-28,Standard Examination,0,N
9213296,Netherlands,Rotterdam,2003-02-24,Initial inspection,0,N
9213296,United States of America,"Houston, Texas",2017-05-18,Standard Examination,0,N
9213296,United States of America,"Philadelphia, Pennsylvania",2007-05-02,Standard Examination,2,N
9213296,United Kingdom,Sullom voe,2003-02-10,More detailed inspection,1,N
9213296,United States of America,"Galveston, Texas",2016-05-31,Standard Examination,0,N
9213296,United States of America,"Portland, Maine",2007-04-22,Standard Examination,0,N
9213296,United Kingdom,Middlesbrough,2002-10-04,Initial inspection,0,N
9213296,Belgium,Antwerp,2016-04-11,Expanded inspection,3,N
9213296,United States of America,"Portland, Maine",2007-02-23,Standard Examination,0,N
9213296,United States of America,MSU Galveston,2002-04-17,,0,N
9213296,Canada,Come by Chance,2015-01-11,Expanded inspection,4,N
9213296,United States of America,"Portland, Maine",2006-11-08,Standard Examination,0,N
9213296,Canada,St johns,2002-02-20,Initial inspection,0,N
9213296,United States of America,"Lake Charles, Louisiana",2014-07-23,Standard Examination,0,N
9213296,United States of America,"Portland, Maine",2006-07-31,Standard Examination,0,N
9213296,United Kingdom,Southampton,2001-12-18,Initial inspection,0,N
9213296,United States of America,"Portland, Maine",2013-10-03,Standard Examination,0,N
9213296,Canada,Come by Chance,2006-07-01,Initial inspection,0,N
9213296,United States of America,MSD Lake Charles,2001-06-14,,0,N
9213296,Belgium,Antwerp,2013-02-15,Expanded inspection,2,N
9213296,United States of America,"Portland, Maine",2006-05-15,Standard Examination,0,N
9213296,United States of America,MSU Galveston,2001-04-22,,0,N
9213296,United States of America,MSU Galveston,2001-04-18,,0,N
9213313,China Peoples's Republic,Shanghai,2023-10-18,Follow-up inspection,0,N
9213313,Russia,Primorsk,2015-04-30,Expanded inspection,0,N
9213313,United States of America,"Portland, Maine",2008-07-07,Standard Examination,0,N
9213313,Canada,Dartmouth,2002-02-25,Initial inspection,0,N
9213313,China Peoples's Republic,Shanghai,2023-10-17,Initial inspection,4,N
9213313,Australia,Brisbane,2015-01-14,Follow-up inspection,1,N
9213313,Germany,Brunsbuttel,2008-06-30,Initial inspection,0,N
9213313,China Peoples's Republic,Zhoushan,2023-07-25,Follow-up inspection,0,N
9213313,Australia,Brisbane,2015-01-12,Follow-up inspection,6,N
9213313,Sweden,Göteborg,2007-11-13,Initial inspection,0,N
9213313,China Peoples's Republic,Zhoushan,2023-07-21,Initial inspection,4,N
9213313,,,2023-07-21,Initial inspection,2,
9213313,United States of America,"Corpus Christi, Texas",2007-07-20,Standard Examination,0,N
9213313,South Africa,Cape Town,2022-01-27,Initial inspection,35,Y
9213313,Australia,Other North,2015-01-12,Initial inspection,2,N
9213313,Canada,Saint John,2007-02-28,Initial inspection,0,N
9213313,South Africa,Cape Town,2022-01-06,Initial inspection,35,Y
9213313,Russia,Vostochny,2014-11-07,Initial inspection,7,N
9213313,United States of America,"Portland, Maine",2006-12-15,Standard Examination,0,N
9213313,Italy,Ancona,2020-06-15,Expanded inspection,0,N
9213313,Sweden,Nynäshamn,2014-04-18,Expanded inspection,0,N
9213313,United States of America,"New Orleans, Louisiana",2006-07-01,Standard Examination,0,N
9213313,Russia,Novorossiisk,2019-12-20,Expanded inspection,7,N
9213313,United States of America,"Portland, Maine",2013-10-05,Standard Examination,0,N
9213313,United Kingdom,Birken Head,2006-04-25,More detailed inspection,0,N
9213313,United Kingdom,Fawley,2019-04-28,Expanded inspection,2,N
9213313,United States of America,"Philadelphia, Pennsylvania",2012-08-09,Standard Examination,2,N
9213313,Russia,Primorsk,2005-09-18,More detailed inspection,1,N
9213313,United States of America,"Houston, Texas",2019-01-14,Standard Examination,0,N
9213313,Estonia,Muuga,2012-07-18,Initial inspection,0,N
9213313,United States of America,"Portland, Maine",2005-08-05,Standard Examination,0,N
9213313,Curacao,Willemstad,2018-01-09,Initial inspection,0,N
9213313,United States of America,"Philadelphia, Pennsylvania",2011-11-27,Standard Examination,0,N
9213313,Canada,Whiffen Head,2005-06-25,Initial inspection,0,N
9213313,United States of America,"Lake Charles, Louisiana",2017-12-21,Standard Examination,0,N
9213313,United States of America,"Philadelphia, Pennsylvania",2011-11-22,Standard Examination,1,N
9213313,United States of America,"Portland, Maine",2005-05-27,Standard Examination,0,N
9213313,Germany,Hamburg,2017-09-04,Expanded inspection,2,N
9213313,Sweden,Nynäshamn,2011-09-16,More detailed inspection,0,N
9213313,Sweden,Nynäshamn,2005-02-17,Initial inspection,0,N
9213313,Netherlands,St Eustatius,2017-01-31,Initial inspection,1,N
9213313,Russia,Murmansk,2010-12-07,More detailed inspection,0,N
9213313,United States of America,MSO Portland (me),2004-05-10,,0,N
9213313,United States of America,"New York, New York",2017-01-19,Standard Examination,0,N
9213313,United States of America,"Corpus Christi, Texas",2010-08-24,Standard Examination,0,N
9213313,Sweden,Göteborg,2004-02-02,Initial inspection,0,N
9213313,United Kingdom,Liverpool,2016-07-30,Expanded inspection,2,N
9213313,Sweden,Göteborg,2009-12-28,Initial inspection,0,N
9213313,United States of America,MSO Portland (me),2003-05-11,,0,N
9213313,Colombia,Coveñas,2015-08-23,Initial inspection,0,N
9213313,United States of America,"Portland, Maine",2009-08-06,Standard Examination,0,N
9213313,Canada,St johns,2002-10-25,Initial inspection,0,N
9213313,Canada,Whiffen Head,2009-02-05,Initial inspection,0,N
9215098,Russia,Nakhodka,2024-03-20,Follow-up inspection,0,N
9215098,"Hong Kong, China",Hong Kong Marine Department,2013-08-07,Initial inspection,2,N
9215098,Iran,Other,2004-10-10,Initial inspection,0,N
9215098,Russia,Nakhodka,2024-02-28,Follow-up inspection,0,N
9215098,"Hong Kong, China",Hong Kong Marine Department,2013-02-04,Initial inspection,1,N
9215098,,,2004-05-28,,0,N
9215098,Russia,Nakhodka,2024-02-26,Initial inspection,4,N
9215098,,,2012-05-16,,0,N
9215098,Canada,Port hawkesbury,2004-04-03,Initial inspection,0,N
9215098,Russia,Vostochny,2023-09-12,Follow-up inspection,0,N
9215098,,,2011-08-16,,0,N
9215098,United States of America,MIO New York,2004-03-26,,0,N
9215098,Russia,Vostochny,2023-09-01,Initial inspection,4,N
9215098,,,2010-12-01,,0,N
9215098,,,2003-10-26,,0,N
9215098,Malaysia,Lahad Datu,2022-07-23,Initial inspection,1,N
9215098,United Kingdom,Shellhaven,2010-07-28,Initial inspection,1,N
9215098,,,2003-10-22,,0,N
9215098,China Peoples's Republic,Taicang,2021-09-19,Follow-up inspection,0,N
9215098,United Kingdom,Immingham,2009-09-01,Initial inspection,0,N
9215098,United States of America,New York (Capt. of the port),2002-01-08,,0,N
9215098,China Peoples's Republic,Taicang,2021-09-11,Initial inspection,5,N
9215098,France,Bordeaux,2009-02-09,More detailed inspection,1,N
9215098,United States of America,MSO Boston,2001-05-14,,0,N
9215098,Indonesia,Dumai,2019-01-25,Initial inspection,0,N
9215098,United States of America,"Seattle, Washington",2008-12-26,Standard Examination,0,N
9215098,United States of America,MSO Los Angeles/ Long Beach,2001-01-31,,0,N
9215098,Korea (Republic of),Ulsan,2018-07-10,Follow-up inspection,0,N
9215098,,,2008-07-29,,0,N
9215098,United States of America,MSO Los Angeles/ Long Beach,2001-01-07,,0,N
9215098,China Peoples's Republic,Shanghai,2018-04-20,Initial inspection,5,N
9215098,,,2007-11-07,,0,N
9215098,Korea (Republic of),Daesan,2000-12-04,,0,N
9215098,Bangladesh,Chittagong,2017-09-25,Initial inspection,2,N
9215098,,,2007-05-15,,0,N
9215098,Singapore,Singapore,2017-02-02,Follow-up inspection,0,N
9215098,India,Haldia,2006-12-11,Initial inspection,2,N
9215098,,,2006-12-11,Initial inspection,0,
9215098,,,2006-11-07,,0,N
9215098,Japan,Yokohama,2016-04-27,Initial inspection,2,N
9215098,,,2006-07-25,,0,N
9215098,Australia,Kurnell,2014-05-14,Initial inspection,0,N
9215098,United States of America,Guam,2006-05-30,Standard Examination,0,N
9215098,,,2006-05-30,Initial inspection,0,
9215098,France,Marseille,2005-11-29,More detailed inspection,0,N
9215098,United States of America,Guam,2013-11-05,Standard Examination,0,N
9215098,United States of America,"New York, New York",2005-09-23,Standard Examination,0,N
9215098,Canada,Come by Chance,2005-08-20,Initial inspection,4,N
9215098,United States of America,"Philadelphia, Pennsylvania",2005-08-11,Standard Examination,1,N
9215098,United States of America,"New York, New York",2005-02-27,Standard Examination,0,N
9217319,France,Rouen,2012-08-02,Expanded inspection,0,N
9217319,Belgium,Ghent,2004-06-16,More detailed inspection,3,N
9217319,Spain,Ceuta,2011-07-12,Expanded inspection,3,N
9217319,United Kingdom,Teesside,2003-10-13,Initial inspection,0,N
9217319,United Kingdom,Eastham,2010-09-08,Initial inspection,0,N
9217319,Belgium,Ghent,2003-06-18,More detailed inspection,0,N
9217319,Germany,Rostock,2010-02-03,Expanded inspection,0,N
9217319,United Kingdom,Middlesbrough,2002-09-13,Initial inspection,3,N
9217319,Germany,Hamburg,2009-12-01,More detailed inspection,2,N
9217319,United Kingdom,Grimsby,2009-06-10,Initial inspection,0,N
9217319,Belgium,Ghent,2009-03-31,More detailed inspection,0,N
9217319,France,Bordeaux,2008-12-08,More detailed inspection,8,N
9217319,Belgium,Ghent,2008-09-15,More detailed inspection,6,N
9217319,France,Nantes,2008-02-08,More detailed inspection,0,N
9217319,Latvia,Liepaja,2007-07-13,Initial inspection,0,N
9217319,France,Nantes,2007-01-10,Initial inspection,0,N
9217319,Spain,Ceuta,2006-07-04,More detailed inspection,0,N
9217319,Netherlands,Vlaardingen,2005-08-22,More detailed inspection,0,N
9217319,United Kingdom,Fawley,2005-02-11,Initial inspection,0,N
9217319,Belgium,Ghent,2005-01-12,More detailed inspection,0,N
9217321,Korea (Republic of),Busan,2016-08-04,Follow-up inspection,0,N
9217321,,,2016-08-04,Initial inspection,3,
9217321,China Peoples's Republic,Jiaxing,2015-12-08,Initial inspection,2,N
9217321,,,2006-11-15,,0,N
9217321,Latvia,Liepaja,2006-05-09,Initial inspection,0,N
9217321,France,Nantes,2005-11-02,More detailed inspection,1,N
9217321,Germany,Hamburg,2003-01-17,Initial inspection,0,N
9217321,Finland,Skoldvik,2002-06-03,Initial inspection,0,N
9218181,Russia,Taman,2024-03-22,Expanded inspection,4,N
9218181,,,2003-08-22,,0,N
9218181,Singapore,Singapore,2023-11-02,Initial inspection,8,N
9218181,Korea (Republic of),Daesan,2002-08-02,,0,N
9218181,China Peoples's Republic,Yantai,2023-02-15,Follow-up inspection,0,N
9218181,Russia,Korsakov,2002-07-14,,0,N
9218181,China Peoples's Republic,Yantai,2023-02-14,Initial inspection,3,N
9218181,Japan,Akita,2001-06-14,,0,N
9218181,Russia,Nakhodka,2022-07-09,Initial inspection,3,N
9218181,Japan,Akitafunagawa,2017-04-12,Initial inspection,0,N
9218181,Philippines,Bataan & North Harbor,2015-09-27,Initial inspection,0,N
9218181,Japan,Akita,2014-10-01,Initial inspection,0,N
9218181,Japan,Tomakomai,2013-11-13,Initial inspection,0,N
9218181,Japan,Akita,2013-03-15,Initial inspection,1,N
9218181,,,2012-09-07,,0,N
9218181,Greece,Eleusis,2011-03-24,Expanded inspection,2,N
9218181,Spain,Cartagena,2009-07-14,More detailed inspection,1,N
9218181,Bulgaria,Burgas,2008-12-11,Initial inspection,0,N
9218181,Italy,Augusta,2007-08-30,Initial inspection,0,N
9218181,Italy,Roma(fiumicino),2005-07-11,Initial inspection,0,N
9218181,,,2005-02-17,,0,N
9218181,,,2004-09-21,,0,N
9218181,,,2004-01-07,,0,N
9218181,,,2004-01-05,,0,N
9218181,,,2003-11-11,,0,N
9220938,Russia,Novorossiisk,2024-03-11,Expanded inspection,21,Y
9220938,Venezuela,Puerto La Cruz,2011-05-26,Initial inspection,0,N
9220938,Russia,Novorossiisk,2023-07-14,Expanded inspection,2,N
9220938,United States of America,"Jacksonville, Florida",2011-04-25,Standard Examination,0,N
9220938,Russia,Novorossiisk,2022-12-25,More detailed inspection,2,N
9220938,Canada,Pt Tupper,2011-04-18,Initial inspection,0,N
9220938,Russia,Novorossiisk,2022-09-20,Expanded inspection,2,N
9220938,Latvia,Ventspils,2010-06-14,Initial inspection,0,N
9220938,Romania,Constanta,2022-08-26,Expanded inspection,1,N
9220938,Spain,Cartagena,2009-04-28,More detailed inspection,0,N
9220938,,,2009-04-28,Expanded inspection,1,
9220938,Spain,Cartagena,2008-04-29,More detailed inspection,13,N
9220938,Russia,Novorossiisk,2022-08-14,Expanded inspection,2,N
9220938,Spain,Cartagena,2007-08-23,More detailed inspection,1,N
9220938,Russia,Novorossiisk,2020-01-24,Expanded inspection,7,N
9220938,France,Marseille,2006-12-12,Initial inspection,0,N
9220938,France,Port la nouvelle,2019-06-22,Expanded inspection,0,N
9220938,Netherlands,Rotterdam,2006-06-13,Initial inspection,0,N
9220938,Croatia,Omisalj,2018-06-11,Expanded inspection,0,N
9220938,Denmark,Stignæsværkets Havn,2004-12-07,Initial inspection,0,N
9220938,Russia,Novorossiisk,2017-10-01,More detailed inspection,5,N
9220938,United Kingdom,Fawley,2004-11-03,Initial inspection,4,N
9220938,Algeria,Arzew,2017-06-07,Initial inspection,0,N
9220938,Spain,Huelva,2004-02-06,Initial inspection,0,N
9220938,Slovenia,Koper,2016-05-30,Expanded inspection,0,N
9220938,Germany,Hamburg,2003-02-04,Initial inspection,0,N
9220938,Spain,La Coruña (A Coruña),2015-05-26,Expanded inspection,2,N
9220938,United Kingdom,Southampton,2002-04-03,Initial inspection,3,N
9220938,France,Fos sur mer,2014-05-03,More detailed inspection,0,N
9220938,Egypt,El Iskandariya (Alexandria),2013-12-19,More detailed inspection,0,N
9220938,Spain,Castellón de la Plana,2013-09-20,More detailed inspection,7,N
9220938,Spain,Barcelona,2012-06-13,Initial inspection,0,N
9222560,Russia,Novorossiisk,2024-03-09,Expanded inspection,9,Y
9222560,Cuba,Matanzas,2015-11-05,Initial inspection,1,N
9222560,United States of America,"Cape Canaveral, Florida",2002-01-12,,15,Y
9222560,Russia,Novorossiisk,2023-11-26,More detailed inspection,5,Y
9222560,Cuba,Cienfuegos,2015-04-20,Initial inspection,3,N
9222560,Canada,Quebec city,2001-12-05,Initial inspection,8,N
9222560,Russia,Novorossiisk,2023-11-09,Expanded inspection,5,N
9222560,,,2009-05-26,,0,N
9222560,Korea (Republic of),Yeosu,2001-08-09,,0,N
9222560,Malta,Marsaxlokk,2023-10-16,Expanded inspection,3,N
9222560,,,2009-05-25,,0,N
9222560,United States of America,MIO New York,2000-11-24,,2,N
9222560,,,2000-11-24,Expanded inspection,3,
9222560,Iran,Bandar Abbas,2009-01-18,Initial inspection,5,N
9222560,Germany,Hamburg,2000-10-09,,0,N
9222560,Russia,Novorossiisk,2023-06-19,More detailed inspection,4,N
9222560,,,2008-10-19,,0,N
9222560,United States of America,MSO Portland (or),2000-01-04,,0,N
9222560,Cuba,Santiago De Cuba,2023-05-03,Initial inspection,3,N
9222560,,,2008-07-14,,0,N
9222560,Russia,Novorossiisk,2023-02-05,Expanded inspection,2,N
9222560,,,2007-11-26,,0,N
9222560,Greece,Agioi Theodoroi,2022-08-24,Expanded inspection,1,N
9222560,,,2007-06-27,,0,N
9222560,Russia,Novorossiisk,2022-05-16,Expanded inspection,2,N
9222560,,,2007-02-25,,0,N
9222560,Georgia,Batumi,2020-08-15,Initial inspection,2,N
9222560,,,2006-12-15,,0,N
9222560,United States of America,"Galveston, Texas",2019-06-19,Standard Examination,1,N
9222560,,,2006-07-26,,0,N
9222560,United States of America,"Corpus Christi, Texas",2018-01-30,Standard Examination,1,N
9222560,,,2005-06-30,,0,N
9222560,United States of America,"Lake Charles, Louisiana",2017-07-25,Standard Examination,1,N
9222560,,,2004-10-11,,0,N
9222560,United States of America,"Houston, Texas",2017-06-29,Standard Examination,9,N
9222560,,,2003-12-22,,0,N
9222560,Nigeria,Apapa,2016-05-09,Initial inspection,0,N
9222560,Australia,Westernport,2003-09-22,Initial inspection,2,N
9222560,Latvia,Ventspils,2016-02-29,Expanded inspection,7,N
9222560,,,2003-07-04,,0,N
9222560,United States of America,MSU Galveston,2003-02-25,,0,N
9222560,United States of America,MSO Jacksonville,2003-02-19,,2,N
9222560,United States of America,MSO San Francisco,2002-12-23,,0,N
9222560,United States of America,MSO Portland (or),2002-11-25,,1,N
9222560,Iran,Bandar Khomeini,2002-08-01,Initial inspection,0,N
9222560,United States of America,MSO Port Arthur,2002-05-19,,0,N
9222560,United States of America,MSO Jacksonville,2002-04-09,,2,N
9224283,Russia,Novorossiisk,2024-05-23,Expanded inspection,3,N
9224283,United States of America,"Galveston, Texas",2012-10-11,Standard Examination,0,N
9224283,Russia,Novorossiisk,2024-01-01,Expanded inspection,3,N
9224283,United Kingdom,Finnart,2011-10-31,More detailed inspection,0,N
